IDtig00000070.g6.t1 ec:1.11.1.7.cds
IDtig00000349.g138.t1 IDtig00000349.g138.t1.cds
IDtig00000349.g151.t1 ec:1.1.1.195.cds
IDtig00000794.g93.t1 ec:1.1.1.195.cds
IDtig00001157.g31.t1 ec:1.1.1.195.cds
IDtig00001209.g58.t1 ec:1.1.1.195.cds
IDtig00001209.g59.t1 ec:1.11.1.7.cds
IDtig00001332.g90.t1 ec:1.11.1.7.cds
IDtig00001334.g99.t1 ec:1.11.1.7.cds
IDtig00001488.g69.t1 ec:1.11.1.7.cds
IDtig00001567.g135.t1 ec:1.11.1.7.cds
IDtig00001654.g147.t1 ec:2.1.1.104.cds
IDtig00001855.g53.t1 ec:1.11.1.7.cds
IDtig00001909.g71.t1 ec:2.1.1.104.cds
IDtig00001931.g130.t1 ec:2.1.1.104.cds
IDtig00002416.g99.t1 ec:2.1.1.104.cds
IDtig00002600.g136.t1 ec:1.2.1.44.cds
IDtig00002600.g137.t1 ec:1.11.1.7.cds
IDtig00003405.g48.t1 ec:1.11.1.7.cds
IDtig00003494.g137.t1 ec:2.1.1.104.cds
IDtig00003574.g63.t1 ec:2.1.1.104.cds
IDtig00003865.g86.t1 ec:2.1.1.104.cds
IDtig00004550.g123.t1 ec:1.1.1.195.cds
IDtig00004788.g44.t1 ec:2.1.1.104.cds
IDtig00005022.g12.t1 ec:1.1.1.195.cds
IDtig00005100.g78.t1 ec:1.1.1.195.cds
IDtig00005204.g50.t1 ec:4.3.1.25.cds
IDtig00005204.g51.t1 ec:1.11.1.7.cds
IDtig00005229.g132.t1 ec:2.1.1.104.cds
IDtig00005497.g91.t1 ec:2.1.1.104.cds
IDtig00005546.g51.t1 ec:3.2.1.21.cds
IDtig00005961.g70.t1 ec:1.1.1.195.cds
IDtig00006140.g76.t1 ec:1.1.1.195.cds
IDtig00006453.g136.t1 ec:2.1.1.104.cds
IDtig00006522.g14.t1 ec:1.11.1.7.cds
IDtig00006585.g4.t1 ec:1.11.1.7.cds
IDtig00006585.g6.t1 ec:1.11.1.7.cds
IDtig00006585.g7.t1 ec:2.3.1.133.cds
IDtig00006585.g8.t1 ec:4.3.1.25.cds
IDtig00006712.g8.t1 ec:1.11.1.7.cds
IDtig00006746.g27.t1 ec:1.1.1.195.cds
IDtig00006833.g72.t1 ec:1.11.1.7.cds
IDtig00007342.g112.t1 ec:1.11.1.7.cds
IDtig00007552.g102.t1 ec:2.1.1.104.cds
IDtig00007685.g100.t1 ec:1.11.1.7.cds
IDtig00007721.g156.t1 ec:1.11.1.7.cds
IDtig00007727.g18.t1 ec:1.11.1.7.cds
IDtig00007767.g53.t1 ec:1.11.1.7.cds
IDtig00007920.g69.t1 ec:1.11.1.7.cds
IDtig00008349.g51.t1 ec:1.11.1.7.cds
